Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
44	48	3	4	1	fox-26784	FOX	2016-11-03	2016-11-06		Likely Voters	1295	2.5	Live Phone	Nonpartisan	None
4	91	2	3	0	fox-26784	FOX	2016-11-03	2016-11-06		Likely Voters - Democrat		4	Live Phone	Nonpartisan	None
86	9	2	3	1	fox-26784	FOX	2016-11-03	2016-11-06		Likely Voters - Republican		4	Live Phone	Nonpartisan	None
42	36	9	9	5	fox-26784	FOX	2016-11-03	2016-11-06		Likely Voters - independent		6.5	Live Phone	Nonpartisan	None
44	48		2	7	fox-26784	FOX	2016-11-03	2016-11-06		Likely Voters	1295	2.5	Live Phone	Nonpartisan	None
4	90		1	4	fox-26784	FOX	2016-11-03	2016-11-06		Likely Voters - Democrat		4	Live Phone	Nonpartisan	None
85	8		1	6	fox-26784	FOX	2016-11-03	2016-11-06		Likely Voters - Republican		4	Live Phone	Nonpartisan	None
43	37		3	18	fox-26784	FOX	2016-11-03	2016-11-06		Likely Voters - independent		6.5	Live Phone	Nonpartisan	None
43	41	6	4	5	ibd-tipp-26779	IBD/TIPP	2016-11-03	2016-11-06		Likely Voters	1026	3.1	Live Phone	Nonpartisan	None
42	43		5	9	ibd-tipp-26779	IBD/TIPP	2016-11-03	2016-11-06		Likely Voters	1026	3.1	Live Phone	Nonpartisan	None
39	44		9	8	ipsos-reuters-26810	Ipsos/Reuters	2016-11-02	2016-11-06	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters	2195	2.4	Internet	Nonpartisan	None
7	84		5	5	ipsos-reuters-26810	Ipsos/Reuters	2016-11-02	2016-11-06	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - Democrat			Internet	Nonpartisan	None
81	6		7	7	ipsos-reuters-26810	Ipsos/Reuters	2016-11-02	2016-11-06	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - Republican			Internet	Nonpartisan	None
24	29		28	19	ipsos-reuters-26810	Ipsos/Reuters	2016-11-02	2016-11-06	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - independent			Internet	Nonpartisan	None
39	42	6	6	7	ipsos-reuters-26810	Ipsos/Reuters	2016-11-02	2016-11-06	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters	2195	2.4	Internet	Nonpartisan	None
7	81	4	3	4	ipsos-reuters-26810	Ipsos/Reuters	2016-11-02	2016-11-06	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - Democrat			Internet	Nonpartisan	None
81	6	5	3	5	ipsos-reuters-26810	Ipsos/Reuters	2016-11-02	2016-11-06	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - Republican			Internet	Nonpartisan	None
24	28	15	16	17	ipsos-reuters-26810	Ipsos/Reuters	2016-11-02	2016-11-06	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - independent			Internet	Nonpartisan	None
43	45	4	5	4	rasmussen-26781	Rasmussen	2016-11-02	2016-11-06	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
43	47		5	5	cbs-times-26778	CBS/Times	2016-11-02	2016-11-06		Likely Voters	1426	3	Live Phone	Nonpartisan	None
7	88		1	4	cbs-times-26778	CBS/Times	2016-11-02	2016-11-06		Likely Voters - Democrat			Live Phone	Nonpartisan	None
86	6		5	3	cbs-times-26778	CBS/Times	2016-11-02	2016-11-06		Likely Voters - Republican			Live Phone	Nonpartisan	None
42	41		8	9	cbs-times-26778	CBS/Times	2016-11-02	2016-11-06		Likely Voters - independent			Live Phone	Nonpartisan	None
41	45	5	4	5	cbs-times-26778	CBS/Times	2016-11-02	2016-11-06		Likely Voters	1426	3	Live Phone	Nonpartisan	None
6	85	2	3	4	cbs-times-26778	CBS/Times	2016-11-02	2016-11-06		Likely Voters - Democrat			Live Phone	Nonpartisan	None
84	6	4	3	2	cbs-times-26778	CBS/Times	2016-11-02	2016-11-06		Likely Voters - Republican			Live Phone	Nonpartisan	None
40	38	9	7	8	cbs-times-26778	CBS/Times	2016-11-02	2016-11-06		Likely Voters - independent			Live Phone	Nonpartisan	None
46	49		5		upi-cvoter-26785	UPI/CVOTER	2016-10-31	2016-11-06		Likely Voters	1625		Internet	Nonpartisan	None
44	51			5	nbc-surveymonkey-26770	NBC/SurveyMonkey	2016-10-31	2016-11-06	If the 2016 presidential election were being held today among the following candidates, for whom would you vote?	Likely Voters	70194	1	Internet	Nonpartisan	None
41	47	6	3	2	nbc-surveymonkey-26770	NBC/SurveyMonkey	2016-10-31	2016-11-06	If the 2016 presidential election were being held today among the following candidates for whom would you vote?	Likely Voters	70194	1	Internet	Nonpartisan	None
42	45	8	4	0	politico-morning-consult-26751	Politico/Morning Consult	2016-11-04	2016-11-05		Likely Voters	1482	3	Internet	Nonpartisan	None
8	87	3	2	0	politico-morning-consult-26751	Politico/Morning Consult	2016-11-04	2016-11-05		Likely Voters - Democrat	571		Internet	Nonpartisan	None
85	9	5	1	0	politico-morning-consult-26751	Politico/Morning Consult	2016-11-04	2016-11-05		Likely Voters - Republican	495		Internet	Nonpartisan	None
39	32	17	10	1	politico-morning-consult-26751	Politico/Morning Consult	2016-11-04	2016-11-05		Likely Voters - independent	416		Internet	Nonpartisan	None
40	45	5	2	8	lucid-the-times-picayune-26787	Lucid/The Times-Picayune	2016-11-03	2016-11-05		Likely Voters	825		Internet	Nonpartisan	None
40	44	6	5	5	nbc-wsj-26753	NBC/WSJ	2016-11-03	2016-11-05	If the next election for president were held today, with Donald Trump as the Republican candidate, Hillary Clinton as the Democratic candidate, Gary Johnson the Libertarian candidate, and Jill Stein the Green Party candidate for whom would you vote?	Likely Voters	1282	2.73	Live Phone	Nonpartisan	None
43	48		3	6	nbc-wsj-26753	NBC/WSJ	2016-11-03	2016-11-05	And, if the election for president were held today, with only Donald Trump and Mike Pence as the Republican candidates, and Hillary Clinton and Tim Kaine as the Democratic candidates, for whom would you vote?	Likely Voters	1282	2.73	Live Phone	Nonpartisan	None
43	47	4	4	2	abc-post-26774	ABC/Post	2016-11-02	2016-11-05		Likely Voters	1937	2.5	Live Phone	Nonpartisan	None
45	49		4	2	abc-post-26774	ABC/Post	2016-11-02	2016-11-05		Likely Voters	1937	2.5	Live Phone	Nonpartisan	None
44	43	5	4	4	ibd-tipp-26750	IBD/TIPP	2016-11-02	2016-11-05		Likely Voters	903	3.3	Live Phone	Nonpartisan	None
44	45		4	7	ibd-tipp-26750	IBD/TIPP	2016-11-02	2016-11-05		Likely Voters	903	3.3	Live Phone	Nonpartisan	None
44	48	4	3	1	franklin-pierce-rkm-boston-herald-26775	Franklin Pierce/RKM/Boston Herald	2016-11-01	2016-11-05		Likely Voters	1009	3.1	Live Phone	Nonpartisan	None
12	82	2	4	1	franklin-pierce-rkm-boston-herald-26775	Franklin Pierce/RKM/Boston Herald	2016-11-01	2016-11-05		Likely Voters - Democrat	474		Live Phone	Nonpartisan	None
79	14	5	1	1	franklin-pierce-rkm-boston-herald-26775	Franklin Pierce/RKM/Boston Herald	2016-11-01	2016-11-05		Likely Voters - Republican	418		Live Phone	Nonpartisan	None
54	29	11	4	3	franklin-pierce-rkm-boston-herald-26775	Franklin Pierce/RKM/Boston Herald	2016-11-01	2016-11-05		Likely Voters - independent	106		Live Phone	Nonpartisan	None
46	49		5		upi-cvoter-26757	UPI/CVOTER	2016-10-30	2016-11-05		Likely Voters	1572		Internet	Nonpartisan	None
39	45	5	2	8	lucid-the-times-picayune-26786	Lucid/The Times-Picayune	2016-11-02	2016-11-04		Likely Voters	828		Internet	Nonpartisan	None
44	48	6	2		angus-reid-maru-matchbox-26804	Angus Reid/MARU-Matchbox	2016-11-01	2016-11-04	Which one of the following candidates are you most likely to support on Election Day?	Likely Voters	1113		Internet	Nonpartisan	None
43	48	4	4	2	abc-post-26747	ABC/Post	2016-11-01	2016-11-04		Likely Voters	1685	2.5	Live Phone	Nonpartisan	None
44	49		4	2	abc-post-26747	ABC/Post	2016-11-01	2016-11-04		Likely Voters	1685	2.5	Live Phone	Nonpartisan	None
44	44	5	4	4	ibd-tipp-26732	IBD/TIPP	2016-11-01	2016-11-04		Likely Voters	804	3.5	Live Phone	Nonpartisan	None
43	46		4	7	ibd-tipp-26732	IBD/TIPP	2016-11-01	2016-11-04		Likely Voters	804	3.5	Live Phone	Nonpartisan	None
40	44		7	10	ipsos-reuters-26740	Ipsos/Reuters	2016-10-31	2016-11-04	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters	2244	2.4	Internet	Nonpartisan	None
7	83		4	5	ipsos-reuters-26740	Ipsos/Reuters	2016-10-31	2016-11-04	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - Democrat			Internet	Nonpartisan	None
83	5		7	5	ipsos-reuters-26740	Ipsos/Reuters	2016-10-31	2016-11-04	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - Republican			Internet	Nonpartisan	None
29	26		25	20	ipsos-reuters-26740	Ipsos/Reuters	2016-10-31	2016-11-04	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - independent			Internet	Nonpartisan	None
39	43	6	4	7	ipsos-reuters-26740	Ipsos/Reuters	2016-10-31	2016-11-04	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters	2244	2.4	Internet	Nonpartisan	None
7	82	4	3	4	ipsos-reuters-26740	Ipsos/Reuters	2016-10-31	2016-11-04	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - Democrat			Internet	Nonpartisan	None
82	6	5	4	4	ipsos-reuters-26740	Ipsos/Reuters	2016-10-31	2016-11-04	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - Republican			Internet	Nonpartisan	None
28	25	17	12	18	ipsos-reuters-26740	Ipsos/Reuters	2016-10-31	2016-11-04	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - independent			Internet	Nonpartisan	None
48	49		3		upi-cvoter-26741	UPI/CVOTER	2016-10-29	2016-11-04		Likely Voters	1479		Internet	Nonpartisan	None
44	46		8	2	mcclatchy-marist-26734	McClatchy/Marist	2016-11-01	2016-11-03	If next  week's (November's) presidential election were held today, whom would you support if the candidates are:	Likely Voters	940	3.2	Live Phone	Nonpartisan	None
7	90		3	0	mcclatchy-marist-26734	McClatchy/Marist	2016-11-01	2016-11-03	If next  week's (November's) presidential election were held today, whom would you support if the candidates are:	Likely Voters - Democrat			Live Phone	Nonpartisan	None
92	3		3	1	mcclatchy-marist-26734	McClatchy/Marist	2016-11-01	2016-11-03	If next  week's (November's) presidential election were held today, whom would you support if the candidates are:	Likely Voters - Republican			Live Phone	Nonpartisan	None
41	38		17	4	mcclatchy-marist-26734	McClatchy/Marist	2016-11-01	2016-11-03	If next  week's (November's) presidential election were held today, whom would you support if the candidates are:	Likely Voters - independent			Live Phone	Nonpartisan	None
43	44	6	5	2	mcclatchy-marist-26734	McClatchy/Marist	2016-11-01	2016-11-03	If November's presidential election were held today, whom would you support if the candidates are:	Likely Voters	940	3.2	Live Phone	Nonpartisan	None
7	89	2	1	0	mcclatchy-marist-26734	McClatchy/Marist	2016-11-01	2016-11-03	If November's presidential election were held today, whom would you support if the candidates are:	Likely Voters - Democrat			Live Phone	Nonpartisan	None
92	2	3	1	1	mcclatchy-marist-26734	McClatchy/Marist	2016-11-01	2016-11-03	If November's presidential election were held today, whom would you support if the candidates are:	Likely Voters - Republican			Live Phone	Nonpartisan	None
39	33	13	11	5	mcclatchy-marist-26734	McClatchy/Marist	2016-11-01	2016-11-03	If November's presidential election were held today, whom would you support if the candidates are:	Likely Voters - independent			Live Phone	Nonpartisan	None
43	45	5	4	4	fox-26728	FOX	2016-11-01	2016-11-03		Likely Voters	1107	3	Live Phone	Nonpartisan	None
4	90	2	2	2	fox-26728	FOX	2016-11-01	2016-11-03		Likely Voters - Democrat		4.5	Live Phone	Nonpartisan	None
85	5	4	2	4	fox-26728	FOX	2016-11-01	2016-11-03		Likely Voters - Republican		4.5	Live Phone	Nonpartisan	None
41	33	11	7	8	fox-26728	FOX	2016-11-01	2016-11-03		Likely Voters - independent		6.5	Live Phone	Nonpartisan	None
45	46		1	6	fox-26728	FOX	2016-11-01	2016-11-03		Likely Voters	1107	3	Live Phone	Nonpartisan	None
6	92		1	2	fox-26728	FOX	2016-11-01	2016-11-03		Likely Voters - Democrat		4.5	Live Phone	Nonpartisan	None
87	6		1	7	fox-26728	FOX	2016-11-01	2016-11-03		Likely Voters - Republican		4.5	Live Phone	Nonpartisan	None
43	36		5	16	fox-26728	FOX	2016-11-01	2016-11-03		Likely Voters - independent		6.5	Live Phone	Nonpartisan	None
39	44	6	2	10	lucid-the-times-picayune-26717	Lucid/The Times-Picayune	2016-11-01	2016-11-03		Likely Voters	873		Internet	Nonpartisan	None
44	44	4	4	4	rasmussen-26696	Rasmussen	2016-11-01	2016-11-03	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
43	47	4	4	2	abc-post-26730	ABC/Post	2016-10-31	2016-11-03		Likely Voters	1419	3	Live Phone	Nonpartisan	None
45	49		3	2	abc-post-26730	ABC/Post	2016-10-31	2016-11-03		Likely Voters	1419	3	Live Phone	Nonpartisan	None
39	44		7	10	ipsos-reuters-26720	Ipsos/Reuters	2016-10-30	2016-11-03	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters	2021	2.6	Internet	Nonpartisan	None
37	44	6	4	8	ipsos-reuters-26720	Ipsos/Reuters	2016-10-30	2016-11-03	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters	2021	2.6	Internet	Nonpartisan	None
44	44	4	4	5	ibd-tipp-26691	IBD/TIPP	2016-10-30	2016-11-03		Likely Voters	898	3.3	Live Phone	Nonpartisan	None
44	45		4	7	ibd-tipp-26691	IBD/TIPP	2016-10-30	2016-11-03		Likely Voters	898	3.3	Live Phone	Nonpartisan	None
48	49		3		upi-cvoter-26707	UPI/CVOTER	2016-10-28	2016-11-03		Likely Voters	1395		Internet	Nonpartisan	None
39	44	6	2	9	lucid-the-times-picayune-26673	Lucid/The Times-Picayune	2016-10-31	2016-11-02		Likely Voters	860		Internet	Nonpartisan	None
45	42	4	3	4	rasmussen-26650	Rasmussen	2016-10-31	2016-11-02	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
44	47	3	4	2	abc-post-26690	ABC/Post	2016-10-30	2016-11-02		Likely Voters	1151		Live Phone	Nonpartisan	None
46	49		2	3	abc-post-26690	ABC/Post	2016-10-30	2016-11-02		Likely Voters	1151		Live Phone	Nonpartisan	None
39	45		7	8	ipsos-reuters-26679	Ipsos/Reuters	2016-10-29	2016-11-02	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters	1858	2.6	Internet	Nonpartisan	None
7	85		4	5	ipsos-reuters-26679	Ipsos/Reuters	2016-10-29	2016-11-02	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - Democrat			Internet	Nonpartisan	None
81	9		7	3	ipsos-reuters-26679	Ipsos/Reuters	2016-10-29	2016-11-02	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - Republican			Internet	Nonpartisan	None
36	24		23	16	ipsos-reuters-26679	Ipsos/Reuters	2016-10-29	2016-11-02	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - independent			Internet	Nonpartisan	None
37	45	5	4	8	ipsos-reuters-26679	Ipsos/Reuters	2016-10-29	2016-11-02	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters	1858	2.6	Internet	Nonpartisan	None
6	84	3	3	4	ipsos-reuters-26679	Ipsos/Reuters	2016-10-29	2016-11-02	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - Democrat			Internet	Nonpartisan	None
78	9	6	4	3	ipsos-reuters-26679	Ipsos/Reuters	2016-10-29	2016-11-02	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - Republican			Internet	Nonpartisan	None
34	23	14	12	16	ipsos-reuters-26679	Ipsos/Reuters	2016-10-29	2016-11-02	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - independent			Internet	Nonpartisan	None
44	44	4	4	4	ibd-tipp-26649	IBD/TIPP	2016-10-29	2016-11-02		Likely Voters	867	3.4	Live Phone	Nonpartisan	None
44	44		4	7	ibd-tipp-26649	IBD/TIPP	2016-10-29	2016-11-02		Likely Voters	867	3.4	Live Phone	Nonpartisan	None
48	49		3		upi-cvoter-26669	UPI/CVOTER	2016-10-27	2016-11-02		Likely Voters	1329		Internet	Nonpartisan	None
40	43	6	2	9	lucid-the-times-picayune-26641	Lucid/The Times-Picayune	2016-10-30	2016-11-01		Likely Voters	894		Internet	Nonpartisan	None
43	46	4	4	4	yougov-economist-26618	YouGov/Economist	2016-10-30	2016-11-01	If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?	Likely Voters	1233		Internet	Nonpartisan	None
5	90	0	2	3	yougov-economist-26618	YouGov/Economist	2016-10-30	2016-11-01	If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?	Likely Voters - Democrat	523		Internet	Nonpartisan	None
89	5	2	3	1	yougov-economist-26618	YouGov/Economist	2016-10-30	2016-11-01	If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?	Likely Voters - Republican	268		Internet	Nonpartisan	None
51	28	9	5	7	yougov-economist-26618	YouGov/Economist	2016-10-30	2016-11-01	If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?	Likely Voters - independent	442		Internet	Nonpartisan	None
45	48		7		yougov-economist-26618	YouGov/Economist	2016-10-30	2016-11-01		Likely Voters	1233		Internet	Nonpartisan	None
6	91		3		yougov-economist-26618	YouGov/Economist	2016-10-30	2016-11-01		Likely Voters - Democrat	523		Internet	Nonpartisan	None
90	7		3		yougov-economist-26618	YouGov/Economist	2016-10-30	2016-11-01		Likely Voters - Republican	268		Internet	Nonpartisan	None
53	33		14		yougov-economist-26618	YouGov/Economist	2016-10-30	2016-11-01		Likely Voters - independent	442		Internet	Nonpartisan	None
44	44	5	4	4	rasmussen-26615	Rasmussen	2016-10-30	2016-11-01	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
45	47	3	3	2	abc-post-26648	ABC/Post	2016-10-29	2016-11-01		Likely Voters	1167	3	Live Phone	Nonpartisan	None
47	49		2	3	abc-post-26648	ABC/Post	2016-10-29	2016-11-01		Likely Voters	1167	3	Live Phone	Nonpartisan	None
44	47		5	5	cbs-times-26647	CBS/Times	2016-10-28	2016-11-01		Likely Voters	1333	3	Live Phone	Nonpartisan	None
8	87		1	3	cbs-times-26647	CBS/Times	2016-10-28	2016-11-01		Likely Voters - Democrat			Live Phone	Nonpartisan	None
83	8		5	5	cbs-times-26647	CBS/Times	2016-10-28	2016-11-01		Likely Voters - Republican			Live Phone	Nonpartisan	None
46	39		9	6	cbs-times-26647	CBS/Times	2016-10-28	2016-11-01		Likely Voters - independent			Live Phone	Nonpartisan	None
42	45	5	5	4	cbs-times-26647	CBS/Times	2016-10-28	2016-11-01		Likely Voters			Live Phone	Nonpartisan	None
7	83	3	3	4	cbs-times-26647	CBS/Times	2016-10-28	2016-11-01		Likely Voters - Democrat			Live Phone	Nonpartisan	None
81	7	4	4	4	cbs-times-26647	CBS/Times	2016-10-28	2016-11-01		Likely Voters - Republican			Live Phone	Nonpartisan	None
42	38	8	8	4	cbs-times-26647	CBS/Times	2016-10-28	2016-11-01		Likely Voters - independent			Live Phone	Nonpartisan	None
44	44	4	4	4	ibd-tipp-26612	IBD/TIPP	2016-10-28	2016-11-01		Likely Voters	862	3.4	Live Phone	Nonpartisan	None
44	44		5	7	ibd-tipp-26612	IBD/TIPP	2016-10-28	2016-11-01		Likely Voters	862	3.4	Live Phone	Nonpartisan	None
48	49		3		upi-cvoter-26640	UPI/CVOTER	2016-10-26	2016-11-01		Likely Voters	1383		Internet	Nonpartisan	None
50	50				gravis-marketing-oann-26695	Gravis Marketing/OANN	2016-10-31	2016-10-31		Registered Voters	5360	1.3	IVR/Online	Sponsor	Rep
45	46	4	2	3	gravis-marketing-oann-26695	Gravis Marketing/OANN	2016-10-31	2016-10-31		Registered Voters	5360	1.3	IVR/Online	Sponsor	Rep
40	42	5	2	10	lucid-the-times-picayune-26602	Lucid/The Times-Picayune	2016-10-29	2016-10-31		Likely Voters	866		Internet	Nonpartisan	None
46	46	3	3	2	abc-post-26611	ABC/Post	2016-10-28	2016-10-31		Likely Voters	1182	3	Live Phone	Nonpartisan	None
47	48		2	2	abc-post-26611	ABC/Post	2016-10-28	2016-10-31		Likely Voters	1182	3	Live Phone	Nonpartisan	None
44	44	5	4	4	rasmussen-26593	Rasmussen	2016-10-27	2016-10-31	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
44	45	4	3	4	ibd-tipp-26591	IBD/TIPP	2016-10-26	2016-10-31		Likely Voters	1018	3.2	Live Phone	Nonpartisan	None
44	45		4	7	ibd-tipp-26591	IBD/TIPP	2016-10-26	2016-10-31		Likely Voters	1018	3.2	Live Phone	Nonpartisan	None
48	48		3		upi-cvoter-26639	UPI/CVOTER	2016-10-25	2016-10-31		Likely Voters	1340		Internet	Nonpartisan	None
43	46			11	politico-morning-consult-26556	Politico/Morning Consult	2016-10-29	2016-10-30		Likely Voters	1772	2	Internet	Nonpartisan	None
6	88			6	politico-morning-consult-26556	Politico/Morning Consult	2016-10-29	2016-10-30		Likely Voters - Democrat	661		Internet	Nonpartisan	None
86	8			6	politico-morning-consult-26556	Politico/Morning Consult	2016-10-29	2016-10-30		Likely Voters - Republican	601		Internet	Nonpartisan	None
39	38			23	politico-morning-consult-26556	Politico/Morning Consult	2016-10-29	2016-10-30		Likely Voters - independent	510		Internet	Nonpartisan	None
