Trump,Clinton,end_date,,Johnson,Other,Undecided,survey_house,start_date,end_date
42,44,2016-10-29,,6,4,4,IBD/TIPP,2016-10-24,2016-10-29
41,45,2016-10-29,,,5,9,IBD/TIPP,2016-10-24,2016-10-29
48,48,2016-10-29,,,4,,UPI/CVOTER,2016-10-23,2016-10-29
40,43,2016-10-28,,6,3,8,Lucid/The Times-Picayune,2016-10-26,2016-10-28
45,46,2016-10-28,,4,4,2,ABC/Post,2016-10-25,2016-10-28
46,49,2016-10-28,,,3,2,ABC/Post,2016-10-25,2016-10-28
41,45,2016-10-28,,7,4,4,IBD/TIPP,2016-10-23,2016-10-28
41,46,2016-10-28,,,6,8,IBD/TIPP,2016-10-23,2016-10-28
47,49,2016-10-28,,,4,,UPI/CVOTER,2016-10-22,2016-10-28
40,43,2016-10-27,,6,3,8,Lucid/The Times-Picayune,2016-10-25,2016-10-27
45,45,2016-10-27,,3,4,2,Rasmussen,2016-10-25,2016-10-27
45,47,2016-10-27,,4,4,2,ABC/Post,2016-10-24,2016-10-27
46,49,2016-10-27,,,3,2,ABC/Post,2016-10-24,2016-10-27
41,44,2016-10-27,,7,4,4,IBD/TIPP,2016-10-22,2016-10-27
42,45,2016-10-27,,,6,7,IBD/TIPP,2016-10-22,2016-10-27
47,49,2016-10-27,,,4,,UPI/CVOTER,2016-10-21,2016-10-27
39,43,2016-10-26,,6,3,10,Lucid/The Times-Picayune,2016-10-24,2016-10-26
44,45,2016-10-26,,4,3,4,Rasmussen,2016-10-24,2016-10-26
44,48,2016-10-26,,4,2,2,ABC/Post,2016-10-23,2016-10-26
45,50,2016-10-26,,,2,3,ABC/Post,2016-10-23,2016-10-26
34,45,2016-10-26,,7,2,12,Saint Leo University,2016-10-22,2016-10-26
32,43,2016-10-26,,6,7,13,Saint Leo University,2016-10-22,2016-10-26
41,46,2016-10-26,,4,3,7,YouGov/Economist,2016-10-22,2016-10-26
46,49,2016-10-26,,,5,,YouGov/Economist,2016-10-22,2016-10-26
41,43,2016-10-26,,8,5,4,IBD/TIPP,2016-10-21,2016-10-26
42,44,2016-10-26,,,6,8,IBD/TIPP,2016-10-21,2016-10-26
47,49,2016-10-26,,,4,,UPI/CVOTER,2016-10-20,2016-10-26
39,43,2016-10-25,,6,2,10,Lucid/The Times-Picayune,2016-10-23,2016-10-25
43,44,2016-10-25,,4,4,5,Rasmussen,2016-10-23,2016-10-25
42,48,2016-10-25,,5,1,3,ABC/Post,2016-10-22,2016-10-25
44,51,2016-10-25,,,3,2,ABC/Post,2016-10-22,2016-10-25
41,44,2016-10-25,,7,4,4,FOX,2016-10-22,2016-10-25
44,49,2016-10-25,,,1,7,FOX,2016-10-22,2016-10-25
41,42,2016-10-25,,8,5,4,IBD/TIPP,2016-10-20,2016-10-25
41,43,2016-10-25,,,7,9,IBD/TIPP,2016-10-20,2016-10-25
47,49,2016-10-25,,,4,,UPI/CVOTER,2016-10-19,2016-10-25
38,44,2016-10-24,,6,2,10,Lucid/The Times-Picayune,2016-10-22,2016-10-24
34,43,2016-10-24,,7,6,10,CNBC,2016-10-21,2016-10-24
37,47,2016-10-24,,,9,7,CNBC,2016-10-21,2016-10-24
40,49,2016-10-24,,5,4,2,ABC News,2016-10-21,2016-10-24
43,51,2016-10-24,,,2,3,ABC News,2016-10-21,2016-10-24
38,50,2016-10-24,,5,2,3,GQR (D-Democracy Corps),2016-10-21,2016-10-24
41,53,2016-10-24,,,1,5,GQR (D-Democracy Corps),2016-10-21,2016-10-24
37,51,2016-10-24,,6,2,4,AP-GfK (web),2016-10-20,2016-10-24
41,54,2016-10-24,,,1,4,AP-GfK (web),2016-10-20,2016-10-24
39,49,2016-10-24,,,,12,Suffolk/USA Today,2016-10-20,2016-10-24
38,47,2016-10-24,,4,2,9,Suffolk/USA Today,2016-10-20,2016-10-24
37,43,2016-10-24,,,10,10,Ipsos/Reuters,2016-10-20,2016-10-24
38,42,2016-10-24,,7,6,6,Ipsos/Reuters,2016-10-20,2016-10-24
42,43,2016-10-24,,5,5,5,Rasmussen,2016-10-20,2016-10-24
41,42,2016-10-24,,8,5,4,IBD/TIPP,2016-10-19,2016-10-24
42,43,2016-10-24,,,6,9,IBD/TIPP,2016-10-19,2016-10-24
47,49,2016-10-24,,,4,,UPI/CVOTER,2016-10-18,2016-10-24
38,43,2016-10-23,,7,2,10,Lucid/The Times-Picayune,2016-10-21,2016-10-23
38,50,2016-10-23,,5,5,2,ABC News,2016-10-20,2016-10-23
41,53,2016-10-23,,,3,3,ABC News,2016-10-20,2016-10-23
44,49,2016-10-23,,3,2,2,CNN,2016-10-20,2016-10-23
45,51,2016-10-23,,,4,0,CNN,2016-10-20,2016-10-23
43,41,2016-10-23,,5,6,5,Rasmussen,2016-10-19,2016-10-23
40,45,2016-10-23,,6,9,,Centre College,2016-10-18,2016-10-23
41,41,2016-10-23,,8,6,4,IBD/TIPP,2016-10-18,2016-10-23
42,42,2016-10-23,,,6,10,IBD/TIPP,2016-10-18,2016-10-23
44,50,2016-10-23,,,,5,NBC/SurveyMonkey,2016-10-17,2016-10-23
41,46,2016-10-23,,7,3,2,NBC/SurveyMonkey,2016-10-17,2016-10-23
46,50,2016-10-23,,,4,,UPI/CVOTER,2016-10-17,2016-10-23
37,43,2016-10-22,,7,2,10,Lucid/The Times-Picayune,2016-10-20,2016-10-22
38,50,2016-10-22,,5,3,4,ABC News,2016-10-20,2016-10-22
41,53,2016-10-22,,,3,2,ABC News,2016-10-20,2016-10-22
43,41,2016-10-22,,7,5,4,IBD/TIPP,2016-10-17,2016-10-22
43,42,2016-10-22,,,5,10,IBD/TIPP,2016-10-17,2016-10-22
46,50,2016-10-22,,,4,,UPI/CVOTER,2016-10-16,2016-10-22
40,46,2016-10-21,,5,,9,PPP (D-Social Security Works),2016-10-20,2016-10-21
37,43,2016-10-21,,7,2,11,Lucid/The Times-Picayune,2016-10-19,2016-10-21
43,41,2016-10-21,,5,6,5,Rasmussen,2016-10-19,2016-10-21
42,40,2016-10-21,,7,6,5,IBD/TIPP,2016-10-16,2016-10-21
42,42,2016-10-21,,,5,11,IBD/TIPP,2016-10-16,2016-10-21
45,50,2016-10-21,,,5,,UPI/CVOTER,2016-10-15,2016-10-21
40,46,2016-10-20,,,,16,Politico/Morning Consult,2016-10-19,2016-10-20
36,42,2016-10-20,,9,4,9,Politico/Morning Consult,2016-10-19,2016-10-20
37,45,2016-10-20,,6,2,10,Lucid/The Times-Picayune,2016-10-18,2016-10-20
43,41,2016-10-20,,5,6,5,Rasmussen,2016-10-18,2016-10-20
42,49,2016-10-20,,,5,4,ARG,2016-10-17,2016-10-20
41,40,2016-10-20,,8,6,5,IBD/TIPP,2016-10-15,2016-10-20
41,43,2016-10-20,,,5,12,IBD/TIPP,2016-10-15,2016-10-20
45,50,2016-10-20,,,5,,UPI/CVOTER,2016-10-14,2016-10-20
35,47,2016-10-19,,6,2,9,Lucid/The Times-Picayune,2016-10-17,2016-10-19
43,40,2016-10-19,,6,6,6,Rasmussen,2016-10-17,2016-10-19
41,40,2016-10-19,,7,7,5,IBD/TIPP,2016-10-14,2016-10-19
41,43,2016-10-19,,,5,11,IBD/TIPP,2016-10-14,2016-10-19
46,50,2016-10-19,,,4,,UPI/CVOTER,2016-10-13,2016-10-19
40,47,2016-10-18,,7,2,5,Quinnipiac,2016-10-17,2016-10-18
44,50,2016-10-18,,,1,6,Quinnipiac,2016-10-17,2016-10-18
36,46,2016-10-18,,6,2,9,Lucid/The Times-Picayune,2016-10-16,2016-10-18
42,42,2016-10-18,,7,4,6,Rasmussen,2016-10-16,2016-10-18
38,42,2016-10-18,,6,4,10,YouGov/Economist,2016-10-15,2016-10-18
43,47,2016-10-18,,,8,2,YouGov/Economist,2016-10-15,2016-10-18
41,40,2016-10-18,,8,7,5,IBD/TIPP,2016-10-13,2016-10-18
41,44,2016-10-18,,,6,10,IBD/TIPP,2016-10-13,2016-10-18
46,50,2016-10-18,,,4,,UPI/CVOTER,2016-10-12,2016-10-18
36,45,2016-10-17,,7,3,10,Lucid/The Times-Picayune,2016-10-15,2016-10-17
39,45,2016-10-17,,5,5,6,FOX,2016-10-15,2016-10-17
42,49,2016-10-17,,,1,8,FOX,2016-10-15,2016-10-17
41,50,2016-10-17,,,4,5,Bloomberg/Selzer,2016-10-14,2016-10-17
38,47,2016-10-17,,8,3,5,Bloomberg/Selzer,2016-10-14,2016-10-17
39,43,2016-10-17,,,8,10,Ipsos/Reuters,2016-10-13,2016-10-17
38,42,2016-10-17,,6,4,10,Ipsos/Reuters,2016-10-13,2016-10-17
41,42,2016-10-17,,7,5,6,Rasmussen,2016-10-13,2016-10-17
36,51,2016-10-17,,3,4,6,Public Religion Research Institute/The Atlantic,2016-10-12,2016-10-17
46,51,2016-10-17,,,4,,UPI/CVOTER,2016-10-11,2016-10-17
38,43,2016-10-16,,7,2,10,Lucid/The Times-Picayune,2016-10-14,2016-10-16
38,50,2016-10-16,,5,3,3,Monmouth University,2016-10-14,2016-10-16
41,53,2016-10-16,,,3,3,Monmouth University,2016-10-14,2016-10-16
40,51,2016-10-16,,,5,5,CBS,2016-10-12,2016-10-16
38,47,2016-10-16,,8,5,3,CBS,2016-10-12,2016-10-16
41,43,2016-10-16,,5,5,6,Rasmussen,2016-10-12,2016-10-16
43,51,2016-10-16,,,,6,NBC/SurveyMonkey,2016-10-10,2016-10-16
40,46,2016-10-16,,8,4,2,NBC/SurveyMonkey,2016-10-10,2016-10-16
46,50,2016-10-16,,,4,,UPI/CVOTER,2016-10-10,2016-10-16
37,45,2016-10-15,,7,2,9,Lucid/The Times-Picayune,2016-10-13,2016-10-15
41,46,2016-10-15,,,,14,Politico/Morning Consult,2016-10-13,2016-10-15
36,42,2016-10-15,,10,3,9,Politico/Morning Consult,2016-10-13,2016-10-15
45,51,2016-10-15,,,4,,UPI/CVOTER,2016-10-09,2016-10-15
37,45,2016-10-14,,7,2,10,Lucid/The Times-Picayune,2016-10-12,2016-10-14
36,46,2016-10-14,,5,2,11,SurveyUSA/Boston Globe/Colby College,2016-10-11,2016-10-14
45,51,2016-10-14,,,4,,UPI/CVOTER,2016-10-08,2016-10-14
36,45,2016-10-13,,6,2,10,Lucid/The Times-Picayune,2016-10-11,2016-10-13
43,41,2016-10-13,,6,6,5,Rasmussen,2016-10-11,2016-10-13
37,48,2016-10-13,,7,5,3,NBC/WSJ,2016-10-10,2016-10-13
41,51,2016-10-13,,,3,5,NBC/WSJ,2016-10-10,2016-10-13
43,47,2016-10-13,,5,2,3,ABC/Post,2016-10-10,2016-10-13
46,50,2016-10-13,,,2,2,ABC/Post,2016-10-10,2016-10-13
39,47,2016-10-13,,7,2,4,GWU/Battleground,2016-10-08,2016-10-13
45,50,2016-10-13,,,4,,UPI/CVOTER,2016-10-07,2016-10-13
36,44,2016-10-12,,7,2,11,Lucid/The Times-Picayune,2016-10-10,2016-10-12
38,45,2016-10-12,,7,4,6,FOX,2016-10-10,2016-10-12
41,49,2016-10-12,,,1,9,FOX,2016-10-10,2016-10-12
43,41,2016-10-12,,6,6,4,Rasmussen,2016-10-10,2016-10-12
45,50,2016-10-12,,,5,,UPI/CVOTER,2016-10-06,2016-10-12
37,42,2016-10-11,,6,5,10,Insights West,2016-10-10,2016-10-11
37,43,2016-10-11,,7,3,11,Lucid/The Times-Picayune,2016-10-09,2016-10-11
39,43,2016-10-11,,7,6,5,Rasmussen,2016-10-09,2016-10-11
44,50,2016-10-11,,,5,,UPI/CVOTER,2016-10-05,2016-10-11
41,46,2016-10-10,,,,13,Politico/Morning Consult,2016-10-10,2016-10-10
37,42,2016-10-10,,10,3,7,Politico/Morning Consult,2016-10-10,2016-10-10
37,44,2016-10-10,,7,2,11,Lucid/The Times-Picayune,2016-10-08,2016-10-10
37,46,2016-10-10,,8,6,3,NBC/WSJ,2016-10-08,2016-10-10
40,50,2016-10-10,,,7,3,NBC/WSJ,2016-10-08,2016-10-10
37,44,2016-10-10,,,9,10,Ipsos/Reuters,2016-10-06,2016-10-10
37,44,2016-10-10,,6,4,9,Ipsos/Reuters,2016-10-06,2016-10-10
39,44,2016-10-10,,7,6,4,Rasmussen,2016-10-06,2016-10-10
44,50,2016-10-10,,,6,,UPI/CVOTER,2016-10-04,2016-10-10
37,45,2016-10-09,,6,2,10,Lucid/The Times-Picayune,2016-10-07,2016-10-09
38,49,2016-10-09,,2,4,8,Public Religion Research Institute/The Atlantic,2016-10-05,2016-10-09
38,45,2016-10-09,,7,5,5,Rasmussen,2016-10-05,2016-10-09
44,50,2016-10-09,,,6,,UPI/CVOTER,2016-10-03,2016-10-09
44,51,2016-10-09,,,,5,NBC/SurveyMonkey,2016-10-03,2016-10-09
41,46,2016-10-09,,8,3,2,NBC/SurveyMonkey,2016-10-03,2016-10-09
41,45,2016-10-08,,,,14,Politico/Morning Consult,2016-10-08,2016-10-08
38,42,2016-10-08,,8,3,9,Politico/Morning Consult,2016-10-08,2016-10-08
36,45,2016-10-08,,7,2,10,Lucid/The Times-Picayune,2016-10-06,2016-10-08
46,48,2016-10-08,,,6,,UPI/CVOTER,2016-10-02,2016-10-08
36,46,2016-10-07,,7,2,10,Lucid/The Times-Picayune,2016-10-05,2016-10-07
47,48,2016-10-07,,,6,,UPI/CVOTER,2016-10-01,2016-10-07
40,45,2016-10-06,,6,3,4,Quinnipiac,2016-10-05,2016-10-06
44,50,2016-10-06,,,1,5,Quinnipiac,2016-10-05,2016-10-06
35,45,2016-10-06,,7,2,10,Lucid/The Times-Picayune,2016-10-04,2016-10-06
42,43,2016-10-06,,7,4,4,Rasmussen,2016-10-04,2016-10-06
42,44,2016-10-06,,6,3,5,FOX,2016-10-03,2016-10-06
44,48,2016-10-06,,,1,7,FOX,2016-10-03,2016-10-06
47,48,2016-10-06,,,6,,UPI/CVOTER,2016-09-30,2016-10-06
35,47,2016-10-05,,7,2,9,Lucid/The Times-Picayune,2016-10-03,2016-10-05
43,41,2016-10-05,,8,5,4,Rasmussen,2016-10-03,2016-10-05
47,47,2016-10-05,,,5,,UPI/CVOTER,2016-09-29,2016-10-05
37,45,2016-10-04,,6,3,9,Lucid/The Times-Picayune,2016-10-02,2016-10-04
42,41,2016-10-04,,8,4,3,Rasmussen,2016-10-02,2016-10-04
48,47,2016-10-04,,,5,,UPI/CVOTER,2016-09-28,2016-10-04
38,45,2016-10-03,,5,3,9,Lucid/The Times-Picayune,2016-10-01,2016-10-03
41,42,2016-10-03,,9,4,4,Rasmussen,2016-09-29,2016-10-03
37,44,2016-10-03,,,9,9,Ipsos/Reuters,2016-09-29,2016-10-03
36,42,2016-10-03,,8,5,8,Ipsos/Reuters,2016-09-29,2016-10-03
49,47,2016-10-03,,,4,,UPI/CVOTER,2016-09-27,2016-10-03
39,44,2016-10-02,,6,2,10,Lucid/The Times-Picayune,2016-09-30,2016-10-02
39,46,2016-10-02,,,,16,Morning Consult,2016-09-30,2016-10-02
36,42,2016-10-02,,9,3,10,Morning Consult,2016-09-30,2016-10-02
41,47,2016-10-02,,3,4,5,Public Religion Research Institute/The Atlantic,2016-09-28,2016-10-02
40,43,2016-10-02,,8,4,5,Rasmussen,2016-09-28,2016-10-02
40,50,2016-10-02,,,5,6,Fairleigh Dickinson/SSRS,2016-09-28,2016-10-02
36,45,2016-10-02,,11,4,4,Fairleigh Dickinson/SSRS,2016-09-28,2016-10-02
43,49,2016-10-02,,,4,5,CBS/Times,2016-09-28,2016-10-02
41,45,2016-10-02,,8,4,3,CBS/Times,2016-09-28,2016-10-02
42,47,2016-10-02,,7,2,2,CNN,2016-09-28,2016-10-02
45,51,2016-10-02,,,4,0,CNN,2016-09-28,2016-10-02
44,50,2016-10-02,,,,6,NBC/SurveyMonkey,2016-09-26,2016-10-02
40,46,2016-10-02,,9,3,2,NBC/SurveyMonkey,2016-09-26,2016-10-02
49,47,2016-10-02,,,4,,UPI/CVOTER,2016-09-26,2016-10-02
37,45,2016-10-01,,6,2,9,Lucid/The Times-Picayune,2016-09-29,2016-10-01
49,48,2016-10-01,,,3,,UPI/CVOTER,2016-09-25,2016-10-01
36,46,2016-09-30,,7,2,10,Lucid/The Times-Picayune,2016-09-28,2016-09-30
49,48,2016-09-30,,,3,,UPI/CVOTER,2016-09-24,2016-09-30
35,45,2016-09-29,,8,2,10,Lucid/The Times-Picayune,2016-09-27,2016-09-29
42,43,2016-09-29,,6,4,6,Rasmussen,2016-09-27,2016-09-29
40,43,2016-09-29,,8,5,3,FOX,2016-09-27,2016-09-29
44,49,2016-09-29,,,2,6,FOX,2016-09-27,2016-09-29
49,47,2016-09-29,,,3,,UPI/CVOTER,2016-09-23,2016-09-29
40,44,2016-09-28,,6,3,6,PPP (D),2016-09-27,2016-09-28
45,49,2016-09-28,,,,6,PPP (D),2016-09-27,2016-09-28
38,42,2016-09-28,,,8,12,Ipsos/Reuters,2016-09-27,2016-09-28
37,42,2016-09-28,,8,3,10,Lucid/The Times-Picayune,2016-09-26,2016-09-28
41,42,2016-09-28,,7,5,5,Rasmussen,2016-09-26,2016-09-28
49,47,2016-09-28,,,4,,UPI/CVOTER,2016-09-22,2016-09-28
39,44,2016-09-27,,6,3,7,Echelon Insights (R),2016-09-26,2016-09-27
42,47,2016-09-27,,,,11,Echelon Insights (R),2016-09-26,2016-09-27
41,45,2016-09-27,,,,14,Morning Consult,2016-09-26,2016-09-27
38,41,2016-09-27,,8,4,8,Morning Consult,2016-09-26,2016-09-27
38,43,2016-09-27,,8,2,9,Lucid/The Times-Picayune,2016-09-25,2016-09-27
48,48,2016-09-27,,,4,,UPI/CVOTER,2016-09-21,2016-09-27
41,49,2016-09-27,,4,5,1,Public Religion Research Institute ,2016-09-01,2016-09-27
39,43,2016-09-26,,7,2,9,Lucid/The Times-Picayune,2016-09-24,2016-09-26
38,44,2016-09-26,,,7,10,Ipsos/Reuters,2016-09-22,2016-09-26
38,42,2016-09-26,,7,5,9,Ipsos/Reuters,2016-09-22,2016-09-26
48,47,2016-09-26,,,5,,UPI/CVOTER,2016-09-20,2016-09-26
39,42,2016-09-25,,7,2,9,Lucid/The Times-Picayune,2016-09-23,2016-09-25
43,43,2016-09-25,,2,4,7,Public Religion Research Institute/The Atlantic,2016-09-22,2016-09-25
42,46,2016-09-25,,8,3,2,Monmouth University,2016-09-22,2016-09-25
46,49,2016-09-25,,,4,2,Monmouth University,2016-09-22,2016-09-25
43,44,2016-09-25,,8,3,4,Quinnipiac,2016-09-22,2016-09-25
46,47,2016-09-25,,,1,6,Quinnipiac,2016-09-22,2016-09-25
44,51,2016-09-25,,,,6,NBC/SurveyMonkey,2016-09-19,2016-09-25
40,45,2016-09-25,,10,3,2,NBC/SurveyMonkey,2016-09-19,2016-09-25
47,48,2016-09-25,,,5,,UPI/CVOTER,2016-09-19,2016-09-25
42,44,2016-09-24,,,,4,Morning Consult,2016-09-22,2016-09-24
39,38,2016-09-24,,9,4,10,Morning Consult,2016-09-22,2016-09-24
46,46,2016-09-24,,,3,4,Bloomberg/Selzer,2016-09-21,2016-09-24
43,41,2016-09-24,,8,4,4,Bloomberg/Selzer,2016-09-21,2016-09-24
46,49,2016-09-24,,,5,,UPI/CVOTER,2016-09-18,2016-09-24
47,48,2016-09-23,,,5,,UPI/CVOTER,2016-09-17,2016-09-23
44,46,2016-09-22,,5,1,4,ABC/Post,2016-09-19,2016-09-22
47,49,2016-09-22,,,1,3,ABC/Post,2016-09-19,2016-09-22
43,45,2016-09-22,,6,3,3,Franklin Pierce/RKM/Boston Herald,2016-09-18,2016-09-22
46,49,2016-09-22,,,5,,UPI/CVOTER,2016-09-16,2016-09-22
44,39,2016-09-21,,8,5,5,Rasmussen,2016-09-20,2016-09-21
