Trump	Clinton	Johnson	Other	Undecided	survey_house	start_date	end_date
43	45	5	4	4	FOX	2016-11-01	2016-11-03
45	46		1	6	FOX	2016-11-01	2016-11-03
39	44	6	2	10	Lucid/The Times-Picayune	2016-11-01	2016-11-03
44	44	4	4	4	Rasmussen	2016-11-01	2016-11-03
43	47	4	4	2	ABC/Post	2016-10-31	2016-11-03
45	49		3	2	ABC/Post	2016-10-31	2016-11-03
39	44		7	10	Ipsos/Reuters	2016-10-30	2016-11-03
37	44	6	4	8	Ipsos/Reuters	2016-10-30	2016-11-03
44	44	4	4	5	IBD/TIPP	2016-10-30	2016-11-03
44	45		4	7	IBD/TIPP	2016-10-30	2016-11-03
48	49		3		UPI/CVOTER	2016-10-28	2016-11-03
39	44	6	2	9	Lucid/The Times-Picayune	2016-10-31	2016-11-02
45	42	4	3	4	Rasmussen	2016-10-31	2016-11-02
44	47	3	4	2	ABC/Post	2016-10-30	2016-11-02
46	49		2	3	ABC/Post	2016-10-30	2016-11-02
39	45		7	8	Ipsos/Reuters	2016-10-29	2016-11-02
37	45	5	4	8	Ipsos/Reuters	2016-10-29	2016-11-02
44	44	4	4	4	IBD/TIPP	2016-10-29	2016-11-02
44	44		4	7	IBD/TIPP	2016-10-29	2016-11-02
48	49		3		UPI/CVOTER	2016-10-27	2016-11-02
40	43	6	2	9	Lucid/The Times-Picayune	2016-10-30	2016-11-01
43	46	4	4	4	YouGov/Economist	2016-10-30	2016-11-01
45	48		7		YouGov/Economist	2016-10-30	2016-11-01
44	44	5	4	4	Rasmussen	2016-10-30	2016-11-01
45	47	3	3	2	ABC/Post	2016-10-29	2016-11-01
47	49		2	3	ABC/Post	2016-10-29	2016-11-01
44	47		5	5	CBS/Times	2016-10-28	2016-11-01
42	45	5	5	4	CBS/Times	2016-10-28	2016-11-01
44	44	4	4	4	IBD/TIPP	2016-10-28	2016-11-01
44	44		5	7	IBD/TIPP	2016-10-28	2016-11-01
48	49		3		UPI/CVOTER	2016-10-26	2016-11-01
40	42	5	2	10	Lucid/The Times-Picayune	2016-10-29	2016-10-31
46	46	3	3	2	ABC/Post	2016-10-28	2016-10-31
47	48		2	2	ABC/Post	2016-10-28	2016-10-31
44	44	5	4	4	Rasmussen	2016-10-27	2016-10-31
44	45	4	3	4	IBD/TIPP	2016-10-26	2016-10-31
44	45		4	7	IBD/TIPP	2016-10-26	2016-10-31
48	48		3		UPI/CVOTER	2016-10-25	2016-10-31
43	46			11	Politico/Morning Consult	2016-10-29	2016-10-30
39	42	7	5	6	Politico/Morning Consult	2016-10-29	2016-10-30
41	42	5	2	10	Lucid/The Times-Picayune	2016-10-28	2016-10-30
47	52			1	Politico/Morning Consult	2016-10-27	2016-10-30
48	51			1	Politico/Morning Consult	2016-10-27	2016-10-30
46	45	3	4	2	ABC/Post	2016-10-27	2016-10-30
47	48		2	2	ABC/Post	2016-10-27	2016-10-30
42	45	5	4	4	Rasmussen	2016-10-26	2016-10-30
44	45	4	4	4	IBD/TIPP	2016-10-25	2016-10-30
43	45		4	7	IBD/TIPP	2016-10-25	2016-10-30
48	49		3		UPI/CVOTER	2016-10-24	2016-10-30
44	51			5	NBC/SurveyMonkey	2016-10-24	2016-10-30
41	47	6	3	2	NBC/SurveyMonkey	2016-10-24	2016-10-30
41	42	5	3	9	Lucid/The Times-Picayune	2016-10-27	2016-10-29
45	46	4	4	2	ABC/Post	2016-10-26	2016-10-29
47	49		2	2	ABC/Post	2016-10-26	2016-10-29
42	44	6	4	4	IBD/TIPP	2016-10-24	2016-10-29
41	45		5	9	IBD/TIPP	2016-10-24	2016-10-29
48	48		4		UPI/CVOTER	2016-10-23	2016-10-29
40	43	6	3	8	Lucid/The Times-Picayune	2016-10-26	2016-10-28
45	46	4	4	2	ABC/Post	2016-10-25	2016-10-28
46	49		3	2	ABC/Post	2016-10-25	2016-10-28
41	45	7	4	4	IBD/TIPP	2016-10-23	2016-10-28
41	46		6	8	IBD/TIPP	2016-10-23	2016-10-28
47	49		4		UPI/CVOTER	2016-10-22	2016-10-28
40	43	6	3	8	Lucid/The Times-Picayune	2016-10-25	2016-10-27
45	45	3	4	2	Rasmussen	2016-10-25	2016-10-27
45	47	4	4	2	ABC/Post	2016-10-24	2016-10-27
46	49		3	2	ABC/Post	2016-10-24	2016-10-27
41	44	7	4	4	IBD/TIPP	2016-10-22	2016-10-27
42	45		6	7	IBD/TIPP	2016-10-22	2016-10-27
47	49		4		UPI/CVOTER	2016-10-21	2016-10-27
39	43	6	3	10	Lucid/The Times-Picayune	2016-10-24	2016-10-26
44	45	4	3	4	Rasmussen	2016-10-24	2016-10-26
44	48	4	2	2	ABC/Post	2016-10-23	2016-10-26
45	50		2	3	ABC/Post	2016-10-23	2016-10-26
34	45	7	2	12	Saint Leo University	2016-10-22	2016-10-26
32	43	6	7	13	Saint Leo University	2016-10-22	2016-10-26
41	46	4	3	7	YouGov/Economist	2016-10-22	2016-10-26
46	49		5		YouGov/Economist	2016-10-22	2016-10-26
41	43	8	5	4	IBD/TIPP	2016-10-21	2016-10-26
42	44		6	8	IBD/TIPP	2016-10-21	2016-10-26
47	49		4		UPI/CVOTER	2016-10-20	2016-10-26
39	43	6	2	10	Lucid/The Times-Picayune	2016-10-23	2016-10-25
43	44	4	4	5	Rasmussen	2016-10-23	2016-10-25
42	48	5	1	3	ABC/Post	2016-10-22	2016-10-25
44	51		3	2	ABC/Post	2016-10-22	2016-10-25
41	44	7	4	4	FOX	2016-10-22	2016-10-25
44	49		1	7	FOX	2016-10-22	2016-10-25
41	42	8	5	4	IBD/TIPP	2016-10-20	2016-10-25
41	43		7	9	IBD/TIPP	2016-10-20	2016-10-25
47	49		4		UPI/CVOTER	2016-10-19	2016-10-25
38	44	6	2	10	Lucid/The Times-Picayune	2016-10-22	2016-10-24
34	43	7	6	10	CNBC	2016-10-21	2016-10-24
37	47		9	7	CNBC	2016-10-21	2016-10-24
40	49	5	4	2	ABC News	2016-10-21	2016-10-24
43	51		2	3	ABC News	2016-10-21	2016-10-24
38	50	5	2	3	GQR (D-Democracy Corps)	2016-10-21	2016-10-24
41	53		1	5	GQR (D-Democracy Corps)	2016-10-21	2016-10-24
37	51	6	2	4	AP-GfK (web)	2016-10-20	2016-10-24
41	54		1	4	AP-GfK (web)	2016-10-20	2016-10-24
39	49			12	Suffolk/USA Today	2016-10-20	2016-10-24
38	47	4	2	9	Suffolk/USA Today	2016-10-20	2016-10-24
37	43		10	10	Ipsos/Reuters	2016-10-20	2016-10-24
38	42	7	6	6	Ipsos/Reuters	2016-10-20	2016-10-24
42	43	5	5	5	Rasmussen	2016-10-20	2016-10-24
41	42	8	5	4	IBD/TIPP	2016-10-19	2016-10-24
42	43		6	9	IBD/TIPP	2016-10-19	2016-10-24
47	49		4		UPI/CVOTER	2016-10-18	2016-10-24
38	43	7	2	10	Lucid/The Times-Picayune	2016-10-21	2016-10-23
38	50	5	5	2	ABC News	2016-10-20	2016-10-23
41	53		3	3	ABC News	2016-10-20	2016-10-23
44	49	3	2	2	CNN	2016-10-20	2016-10-23
45	51		4	0	CNN	2016-10-20	2016-10-23
43	41	5	6	5	Rasmussen	2016-10-19	2016-10-23
40	45	6	9		Centre College	2016-10-18	2016-10-23
41	41	8	6	4	IBD/TIPP	2016-10-18	2016-10-23
42	42		6	10	IBD/TIPP	2016-10-18	2016-10-23
44	50			5	NBC/SurveyMonkey	2016-10-17	2016-10-23
41	46	7	3	2	NBC/SurveyMonkey	2016-10-17	2016-10-23
46	50		4		UPI/CVOTER	2016-10-17	2016-10-23
37	43	7	2	10	Lucid/The Times-Picayune	2016-10-20	2016-10-22
38	50	5	3	4	ABC News	2016-10-20	2016-10-22
41	53		3	2	ABC News	2016-10-20	2016-10-22
43	41	7	5	4	IBD/TIPP	2016-10-17	2016-10-22
43	42		5	10	IBD/TIPP	2016-10-17	2016-10-22
46	50		4		UPI/CVOTER	2016-10-16	2016-10-22
40	46	5		9	PPP (D-Social Security Works)	2016-10-20	2016-10-21
37	43	7	2	11	Lucid/The Times-Picayune	2016-10-19	2016-10-21
43	41	5	6	5	Rasmussen	2016-10-19	2016-10-21
42	40	7	6	5	IBD/TIPP	2016-10-16	2016-10-21
42	42		5	11	IBD/TIPP	2016-10-16	2016-10-21
45	50		5		UPI/CVOTER	2016-10-15	2016-10-21
40	46			16	Politico/Morning Consult	2016-10-19	2016-10-20
36	42	9	4	9	Politico/Morning Consult	2016-10-19	2016-10-20
37	45	6	2	10	Lucid/The Times-Picayune	2016-10-18	2016-10-20
43	41	5	6	5	Rasmussen	2016-10-18	2016-10-20
42	49		5	4	ARG	2016-10-17	2016-10-20
41	40	8	6	5	IBD/TIPP	2016-10-15	2016-10-20
41	43		5	12	IBD/TIPP	2016-10-15	2016-10-20
45	50		5		UPI/CVOTER	2016-10-14	2016-10-20
35	47	6	2	9	Lucid/The Times-Picayune	2016-10-17	2016-10-19
43	40	6	6	6	Rasmussen	2016-10-17	2016-10-19
41	40	7	7	5	IBD/TIPP	2016-10-14	2016-10-19
41	43		5	11	IBD/TIPP	2016-10-14	2016-10-19
46	50		4		UPI/CVOTER	2016-10-13	2016-10-19
40	47	7	2	5	Quinnipiac	2016-10-17	2016-10-18
44	50		1	6	Quinnipiac	2016-10-17	2016-10-18
36	46	6	2	9	Lucid/The Times-Picayune	2016-10-16	2016-10-18
42	42	7	4	6	Rasmussen	2016-10-16	2016-10-18
38	42	6	4	10	YouGov/Economist	2016-10-15	2016-10-18
43	47		8	2	YouGov/Economist	2016-10-15	2016-10-18
41	40	8	7	5	IBD/TIPP	2016-10-13	2016-10-18
41	44		6	10	IBD/TIPP	2016-10-13	2016-10-18
46	50		4		UPI/CVOTER	2016-10-12	2016-10-18
36	45	7	3	10	Lucid/The Times-Picayune	2016-10-15	2016-10-17
39	45	5	5	6	FOX	2016-10-15	2016-10-17
42	49		1	8	FOX	2016-10-15	2016-10-17
41	50		4	5	Bloomberg/Selzer	2016-10-14	2016-10-17
38	47	8	3	5	Bloomberg/Selzer	2016-10-14	2016-10-17
39	43		8	10	Ipsos/Reuters	2016-10-13	2016-10-17
38	42	6	4	10	Ipsos/Reuters	2016-10-13	2016-10-17
41	42	7	5	6	Rasmussen	2016-10-13	2016-10-17
36	51	3	4	6	Public Religion Research Institute/The Atlantic	2016-10-12	2016-10-17
46	51		4		UPI/CVOTER	2016-10-11	2016-10-17
38	43	7	2	10	Lucid/The Times-Picayune	2016-10-14	2016-10-16
38	50	5	3	3	Monmouth University	2016-10-14	2016-10-16
41	53		3	3	Monmouth University	2016-10-14	2016-10-16
40	51		5	5	CBS	2016-10-12	2016-10-16
38	47	8	5	3	CBS	2016-10-12	2016-10-16
41	43	5	5	6	Rasmussen	2016-10-12	2016-10-16
43	51			6	NBC/SurveyMonkey	2016-10-10	2016-10-16
40	46	8	4	2	NBC/SurveyMonkey	2016-10-10	2016-10-16
46	50		4		UPI/CVOTER	2016-10-10	2016-10-16
37	45	7	2	9	Lucid/The Times-Picayune	2016-10-13	2016-10-15
41	46			14	Politico/Morning Consult	2016-10-13	2016-10-15
36	42	10	3	9	Politico/Morning Consult	2016-10-13	2016-10-15
45	51		4		UPI/CVOTER	2016-10-09	2016-10-15
37	45	7	2	10	Lucid/The Times-Picayune	2016-10-12	2016-10-14
36	46	5	2	11	SurveyUSA/Boston Globe/Colby College	2016-10-11	2016-10-14
45	51		4		UPI/CVOTER	2016-10-08	2016-10-14
36	45	6	2	10	Lucid/The Times-Picayune	2016-10-11	2016-10-13
43	41	6	6	5	Rasmussen	2016-10-11	2016-10-13
37	48	7	5	3	NBC/WSJ	2016-10-10	2016-10-13
41	51		3	5	NBC/WSJ	2016-10-10	2016-10-13
43	47	5	2	3	ABC/Post	2016-10-10	2016-10-13
46	50		2	2	ABC/Post	2016-10-10	2016-10-13
39	47	7	2	4	GWU/Battleground	2016-10-08	2016-10-13
45	50		4		UPI/CVOTER	2016-10-07	2016-10-13
36	44	7	2	11	Lucid/The Times-Picayune	2016-10-10	2016-10-12
38	45	7	4	6	FOX	2016-10-10	2016-10-12
41	49		1	9	FOX	2016-10-10	2016-10-12
43	41	6	6	4	Rasmussen	2016-10-10	2016-10-12
45	50		5		UPI/CVOTER	2016-10-06	2016-10-12
37	42	6	5	10	Insights West	2016-10-10	2016-10-11
37	43	7	3	11	Lucid/The Times-Picayune	2016-10-09	2016-10-11
39	43	7	6	5	Rasmussen	2016-10-09	2016-10-11
44	50		5		UPI/CVOTER	2016-10-05	2016-10-11
41	46			13	Politico/Morning Consult	2016-10-10	2016-10-10
37	42	10	3	7	Politico/Morning Consult	2016-10-10	2016-10-10
37	44	7	2	11	Lucid/The Times-Picayune	2016-10-08	2016-10-10
37	46	8	6	3	NBC/WSJ	2016-10-08	2016-10-10
40	50		7	3	NBC/WSJ	2016-10-08	2016-10-10
37	44		9	10	Ipsos/Reuters	2016-10-06	2016-10-10
37	44	6	4	9	Ipsos/Reuters	2016-10-06	2016-10-10
39	44	7	6	4	Rasmussen	2016-10-06	2016-10-10
44	50		6		UPI/CVOTER	2016-10-04	2016-10-10
37	45	6	2	10	Lucid/The Times-Picayune	2016-10-07	2016-10-09
38	49	2	4	8	Public Religion Research Institute/The Atlantic	2016-10-05	2016-10-09
38	45	7	5	5	Rasmussen	2016-10-05	2016-10-09
44	50		6		UPI/CVOTER	2016-10-03	2016-10-09
44	51			5	NBC/SurveyMonkey	2016-10-03	2016-10-09
41	46	8	3	2	NBC/SurveyMonkey	2016-10-03	2016-10-09
41	45			14	Politico/Morning Consult	2016-10-08	2016-10-08
38	42	8	3	9	Politico/Morning Consult	2016-10-08	2016-10-08
36	45	7	2	10	Lucid/The Times-Picayune	2016-10-06	2016-10-08
46	48		6		UPI/CVOTER	2016-10-02	2016-10-08
36	46	7	2	10	Lucid/The Times-Picayune	2016-10-05	2016-10-07
47	48		6		UPI/CVOTER	2016-10-01	2016-10-07
40	45	6	3	4	Quinnipiac	2016-10-05	2016-10-06
44	50		1	5	Quinnipiac	2016-10-05	2016-10-06
35	45	7	2	10	Lucid/The Times-Picayune	2016-10-04	2016-10-06
42	43	7	4	4	Rasmussen	2016-10-04	2016-10-06
42	44	6	3	5	FOX	2016-10-03	2016-10-06
44	48		1	7	FOX	2016-10-03	2016-10-06
47	48		6		UPI/CVOTER	2016-09-30	2016-10-06
35	47	7	2	9	Lucid/The Times-Picayune	2016-10-03	2016-10-05
43	41	8	5	4	Rasmussen	2016-10-03	2016-10-05
47	47		5		UPI/CVOTER	2016-09-29	2016-10-05
37	45	6	3	9	Lucid/The Times-Picayune	2016-10-02	2016-10-04
42	41	8	4	3	Rasmussen	2016-10-02	2016-10-04
48	47		5		UPI/CVOTER	2016-09-28	2016-10-04
38	45	5	3	9	Lucid/The Times-Picayune	2016-10-01	2016-10-03
41	42	9	4	4	Rasmussen	2016-09-29	2016-10-03
37	44		9	9	Ipsos/Reuters	2016-09-29	2016-10-03
36	42	8	5	8	Ipsos/Reuters	2016-09-29	2016-10-03
49	47		4		UPI/CVOTER	2016-09-27	2016-10-03
39	44	6	2	10	Lucid/The Times-Picayune	2016-09-30	2016-10-02
39	46			16	Morning Consult	2016-09-30	2016-10-02
36	42	9	3	10	Morning Consult	2016-09-30	2016-10-02
41	47	3	4	5	Public Religion Research Institute/The Atlantic	2016-09-28	2016-10-02
40	43	8	4	5	Rasmussen	2016-09-28	2016-10-02
40	50		5	6	Fairleigh Dickinson/SSRS	2016-09-28	2016-10-02
36	45	11	4	4	Fairleigh Dickinson/SSRS	2016-09-28	2016-10-02
43	49		4	5	CBS/Times	2016-09-28	2016-10-02
41	45	8	4	3	CBS/Times	2016-09-28	2016-10-02
42	47	7	2	2	CNN	2016-09-28	2016-10-02
45	51		4	0	CNN	2016-09-28	2016-10-02
44	50			6	NBC/SurveyMonkey	2016-09-26	2016-10-02
40	46	9	3	2	NBC/SurveyMonkey	2016-09-26	2016-10-02
49	47		4		UPI/CVOTER	2016-09-26	2016-10-02
37	45	6	2	9	Lucid/The Times-Picayune	2016-09-29	2016-10-01
49	48		3		UPI/CVOTER	2016-09-25	2016-10-01
36	46	7	2	10	Lucid/The Times-Picayune	2016-09-28	2016-09-30
49	48		3		UPI/CVOTER	2016-09-24	2016-09-30
35	45	8	2	10	Lucid/The Times-Picayune	2016-09-27	2016-09-29
42	43	6	4	6	Rasmussen	2016-09-27	2016-09-29
40	43	8	5	3	FOX	2016-09-27	2016-09-29
44	49		2	6	FOX	2016-09-27	2016-09-29
49	47		3		UPI/CVOTER	2016-09-23	2016-09-29
40	44	6	3	6	PPP (D)	2016-09-27	2016-09-28
45	49			6	PPP (D)	2016-09-27	2016-09-28
38	42		8	12	Ipsos/Reuters	2016-09-27	2016-09-28
37	42	8	3	10	Lucid/The Times-Picayune	2016-09-26	2016-09-28
41	42	7	5	5	Rasmussen	2016-09-26	2016-09-28
49	47		4		UPI/CVOTER	2016-09-22	2016-09-28
39	44	6	3	7	Echelon Insights (R)	2016-09-26	2016-09-27
42	47			11	Echelon Insights (R)	2016-09-26	2016-09-27
41	45			14	Morning Consult	2016-09-26	2016-09-27
38	41	8	4	8	Morning Consult	2016-09-26	2016-09-27
38	43	8	2	9	Lucid/The Times-Picayune	2016-09-25	2016-09-27
48	48		4		UPI/CVOTER	2016-09-21	2016-09-27
41	49	4	5	1	Public Religion Research Institute 	2016-09-01	2016-09-27
39	43	7	2	9	Lucid/The Times-Picayune	2016-09-24	2016-09-26
38	44		7	10	Ipsos/Reuters	2016-09-22	2016-09-26
38	42	7	5	9	Ipsos/Reuters	2016-09-22	2016-09-26
48	47		5		UPI/CVOTER	2016-09-20	2016-09-26
39	42	7	2	9	Lucid/The Times-Picayune	2016-09-23	2016-09-25
43	43	2	4	7	Public Religion Research Institute/The Atlantic	2016-09-22	2016-09-25
42	46	8	3	2	Monmouth University	2016-09-22	2016-09-25
46	49		4	2	Monmouth University	2016-09-22	2016-09-25
43	44	8	3	4	Quinnipiac	2016-09-22	2016-09-25
46	47		1	6	Quinnipiac	2016-09-22	2016-09-25
44	51			6	NBC/SurveyMonkey	2016-09-19	2016-09-25
40	45	10	3	2	NBC/SurveyMonkey	2016-09-19	2016-09-25
47	48		5		UPI/CVOTER	2016-09-19	2016-09-25
42	44			4	Morning Consult	2016-09-22	2016-09-24
39	38	9	4	10	Morning Consult	2016-09-22	2016-09-24
46	46		3	4	Bloomberg/Selzer	2016-09-21	2016-09-24
43	41	8	4	4	Bloomberg/Selzer	2016-09-21	2016-09-24
46	49		5		UPI/CVOTER	2016-09-18	2016-09-24
47	48		5		UPI/CVOTER	2016-09-17	2016-09-23
44	46	5	1	4	ABC/Post	2016-09-19	2016-09-22
47	49		1	3	ABC/Post	2016-09-19	2016-09-22
43	45	6	3	3	Franklin Pierce/RKM/Boston Herald	2016-09-18	2016-09-22
46	49		5		UPI/CVOTER	2016-09-16	2016-09-22
44	39	8	5	5	Rasmussen	2016-09-20	2016-09-21
46	49		5		UPI/CVOTER	2016-09-15	2016-09-21
41	48		9	2	McClatchy/Marist	2016-09-15	2016-09-20
39	45	10	5	2	McClatchy/Marist	2016-09-15	2016-09-20
47	48		5		UPI/CVOTER	2016-09-14	2016-09-20
37	43	9	7	4	NBC/WSJ	2016-09-16	2016-09-19
41	48		4	7	NBC/WSJ	2016-09-16	2016-09-19
39	45	9	2	5	AP-GfK (web)	2016-09-15	2016-09-19
44	50			6	AP-GfK (web)	2016-09-15	2016-09-19
39	39		10	11	Ipsos/Reuters	2016-09-15	2016-09-19
39	37	7	5	10	Ipsos/Reuters	2016-09-15	2016-09-19
47	49		5		UPI/CVOTER	2016-09-13	2016-09-19
47	48		5		UPI/CVOTER	2016-09-12	2016-09-18
45	50			6	NBC/SurveyMonkey	2016-09-12	2016-09-18
40	45	10	4	2	NBC/SurveyMonkey	2016-09-12	2016-09-18
48	47		5		UPI/CVOTER	2016-09-11	2016-09-17
42	46			12	Morning Consult	2016-09-15	2016-09-16
40	42	8	3	7	Morning Consult	2016-09-15	2016-09-16
41	46	9	4		Saint Leo University	2016-09-10	2016-09-16
47	47		5		UPI/CVOTER	2016-09-10	2016-09-16
48	47		5		UPI/CVOTER	2016-09-09	2016-09-15
40	41	8	4	6	FOX	2016-09-11	2016-09-14
46	45		2	7	FOX	2016-09-11	2016-09-14
48	47		5		UPI/CVOTER	2016-09-08	2016-09-14
42	40	7	4	7	Rasmussen	2016-09-12	2016-09-13
44	46		5	4	CBS/Times	2016-09-09	2016-09-13
42	42	8	5	2	CBS/Times	2016-09-09	2016-09-13
43	48		3	6	Quinnipiac	2016-09-08	2016-09-13
39	41	13	4	3	Quinnipiac	2016-09-08	2016-09-13
48	47		5		UPI/CVOTER	2016-09-07	2016-09-13
39	40		9	11	Ipsos/Reuters	2016-09-08	2016-09-12
39	39	8	4	10	Ipsos/Reuters	2016-09-08	2016-09-12
49	46		5		UPI/CVOTER	2016-09-06	2016-09-12
49	46		5		UPI/CVOTER	2016-09-05	2016-09-11
49	45		6		UPI/CVOTER	2016-09-04	2016-09-10
49	46		6		UPI/CVOTER	2016-09-03	2016-09-09
43	44			13	Morning Consult	2016-09-06	2016-09-08
39	41	10	3	8	Morning Consult	2016-09-06	2016-09-08
41	46	9	3	2	ABC/Post	2016-09-05	2016-09-08
43	51		3	2	ABC/Post	2016-09-05	2016-09-08
48	46		6		UPI/CVOTER	2016-09-02	2016-09-08
39	43	9	4	5	Rasmussen	2016-09-06	2016-09-07
48	47		6		UPI/CVOTER	2016-09-01	2016-09-07
47	47		6		UPI/CVOTER	2016-08-31	2016-09-06
38	40		11	11	Ipsos/Reuters	2016-09-01	2016-09-05
38	40	8	5	9	Ipsos/Reuters	2016-09-01	2016-09-05
46	48		6		UPI/CVOTER	2016-08-30	2016-09-05
45	43	7	2	1	CNN	2016-09-01	2016-09-04
49	48		4	0	CNN	2016-09-01	2016-09-04
41	44	8	4	3	Franklin Pierce/RKM/Boston Herald	2016-08-31	2016-09-04
47	49		5		UPI/CVOTER	2016-08-29	2016-09-04
46	49		5		UPI/CVOTER	2016-08-28	2016-09-03
45	49		6		UPI/CVOTER	2016-08-27	2016-09-02
40	42	11	3	5	GWU/Battleground	2016-08-28	2016-09-01
45	49		6		UPI/CVOTER	2016-08-26	2016-09-01
43	44		4	8	IBD/TIPP	2016-08-26	2016-09-01
39	39	12	4	6	IBD/TIPP	2016-08-26	2016-09-01
46	48		6		UPI/CVOTER	2016-08-25	2016-08-31
40	39	7	6	7	Rasmussen	2016-08-29	2016-08-30
46	49		5		UPI/CVOTER	2016-08-24	2016-08-30
39	40		9	12	Ipsos/Reuters	2016-08-25	2016-08-29
38	40	6	6	11	Ipsos/Reuters	2016-08-25	2016-08-29
41	48			11	Suffolk/USA Today	2016-08-24	2016-08-29
35	42	9	4	11	Suffolk/USA Today	2016-08-24	2016-08-29
47	50		3		UPI/CVOTER	2016-08-23	2016-08-29
37	42	6	5	10	PPP (D)	2016-08-26	2016-08-28
43	48			9	PPP (D)	2016-08-26	2016-08-28
39	46	7	3	5	Monmouth University	2016-08-25	2016-08-28
42	49		4	5	Monmouth University	2016-08-25	2016-08-28
47	50		3		UPI/CVOTER	2016-08-22	2016-08-28
47	50		3		UPI/CVOTER	2016-08-21	2016-08-27
38	42	9	5	7	Rasmussen	2016-08-23	2016-08-24
35	42		9	13	Ipsos/Reuters	2016-08-20	2016-08-24
36	39	7	6	12	Ipsos/Reuters	2016-08-20	2016-08-24
49	48		4		UPI/CVOTER	2016-08-18	2016-08-24
41	51		3	4	Quinnipiac	2016-08-18	2016-08-24
38	45	10	4	3	Quinnipiac	2016-08-18	2016-08-24
48	48		4		UPI/CVOTER	2016-08-17	2016-08-23
47	48		4		UPI/CVOTER	2016-08-16	2016-08-22
47	48		5		UPI/CVOTER	2016-08-15	2016-08-21
48	48		4		UPI/CVOTER	2016-08-14	2016-08-20
36	41		10	13	Ipsos/Reuters	2016-08-13	2016-08-17
35	39	7	6	13	Ipsos/Reuters	2016-08-13	2016-08-17
46	50		5		UPI/CVOTER	2016-08-11	2016-08-17
39	41	9	6	5	Rasmussen	2016-08-15	2016-08-16
44	51		5		UPI/CVOTER	2016-08-09	2016-08-16
40	50		5	5	Normington, Petts & Associates (D-End Citizens United)	2016-08-09	2016-08-15
37	45	8	4	6	Normington, Petts & Associates (D-End Citizens United)	2016-08-09	2016-08-15
44	51		5		UPI/CVOTER	2016-08-09	2016-08-15
45	51		5		UPI/CVOTER	2016-08-08	2016-08-14
36	38	8	5	13	Zogby (Internet)	2016-08-12	2016-08-13
46	49		6		UPI/CVOTER	2016-08-07	2016-08-13
40	43	8	6	3	Rasmussen	2016-08-09	2016-08-10
36	42		10	12	Ipsos/Reuters	2016-08-06	2016-08-10
